Country,Year,Access to Electricity,Control of Corruption,Ease of Doing Business,Foreign Direct Investment (FDI) Inflows,GDP Growth Rate,GDP per Capita,Getting Credit,Inflation Rate,Internet Penetration,Labor Force Participation Rate,Population Size,Regulatory Quality,Starting a Business,Tariff Rates,Urban Population,Youth Unemployment Rate
BEN,2015,29.6,-0.563475013,,1.315011821,1.77815106,1041.652523,0,0.218785924,11.255,67.441,10932783,-0.621767402,12.5,11.81,45.695,4.429
BEN,2016,37,-0.529120028,,1.11488131,3.339673426,1049.820304,0,-0.793310146,14.5,66.09,11260085,-0.58305639,8.5,11.2,46.229,4.379
BEN,2017,34.5,-0.577509105,,1.581704952,5.671561952,1095.274458,0,0.043264856,18.7,64.712,11596779,-0.52358681,8.5,17.84,46.768,4.214
BEN,2018,39,-0.391388416,,1.360735733,6.697253622,1194.438215,0,0.919170718,19,63.309,11940683,-0.39342612,8.5,15.25,47.312,3.868
BEN,2019,40,-0.330108225,149,1.516310805,6.865686628,1170.885995,0,0.732849371,20.5,63.266,12290444,-0.446330428,8.5,9.86,47.861,3.781
BEN,2020,41,-0.040327787,,1.109344141,3.8487924,1240.733155,,3.022721197,22.1206,62.668,12643123,-0.483431756,,9.86,48.415,4.24
BEN,2021,42,-0.170943543,,1.956086611,7.155451646,1360.911474,,1.733539627,30.7419,61.677,12996895,-0.44798848,,10.89,48.972,4.207
BFA,2015,16.2,-0.299044788,,1.959927157,3.921228794,632.1266858,0,0.724838981,6.55,66.873,18718019,-0.424238205,13,6.86,27.53,7.31
BFA,2016,16.6,-0.169877484,,3.043803499,5.957976708,665.7863286,0,0.441041448,7.14,66.826,19275498,-0.447476685,13,6.93,28.134,7.529
BFA,2017,17,-0.138780206,,0.018237034,6.203489411,711.1845434,0,1.482998972,7.79,66.779,19835858,-0.48115766,13,9.08,28.743,7.676
BFA,2018,14.4,-0.131607041,,1.689199429,6.604569068,779.2027686,0,1.955943027,8.5,66.729,20392723,-0.40524897,13,7.79,29.358,7.787
BFA,2019,17.6,-0.2194933,151,1.016478737,5.88920497,765.2295604,0,-3.23338934,9.27181,66.671,20951639,-0.422923088,13,5.84,29.98,7.682
BFA,2020,18.5,-0.122198515,,-0.557279534,2.010772624,823.5524109,,1.884439938,15.5971,66.028,21522626,-0.482700348,,7.15,30.607,8.217
BFA,2021,19,-0.082507454,,-0.407049209,6.939155247,888.8036109,,3.653532872,18.114,66.429,22100683,-0.48016727,,7.3,31.24,7.937
CIV,2015,62.6,-0.462360084,,1.079141548,7.194949427,1941.581898,0,1.251499548,38.44,66.015,23596741,-0.554926515,7,8,49.444,3.362
